seed_wallet,related_wallet,hop_distance,relation_type,direct_tx_count,direct_value_sum
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1C16gryMPfsLt65ZopYyTQ3MeS3UcAvHpo,1,bidirectional,2,99200363
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1JH5kvmt4EB4h6qnLMcJZN4uP8g2oAQT57,1,bidirectional,2,51330000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,13bi2c1QMY9kPeTFHiEeDzfep5HULwX39B,1,bidirectional,2,99111026
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1FEL3kPetmJiiytjGqUd5mGshe4hxFqoSr,1,bidirectional,2,22530000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,156vKXVkdEhSbP1oLbDe3qVntu9pYaAj4o,1,bidirectional,2,77562682
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,199ovVv4hRGY5MbRmaZ2Ea94T8BiQdufvQ,1,bidirectional,2,89162077
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1MFDT8xZDFZHgKi7P8cDK28X1SBDbtzFAT,1,bidirectional,2,28130000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1Cauz32fDDoSotQMZWLqUHEe9ud8JnsnFP,1,bidirectional,2,69330000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1PSts4MYKnzWVH3AEgD87rG4XSjpMhzWwC,1,bidirectional,2,61330000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1JA4noxzQqz1RN1FrgcY8fBByzXUPhnFam,1,bidirectional,2,82401670
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1KvFTK6nJZ1caj1bzYR7Ls25BvJoaj6xA7,1,bidirectional,4,190192302
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1KDfJ8jRRZWDKTjD85WKcQBUzaucGvoR1q,1,bidirectional,2,82095091
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,19szpcrSsgJbvdBR7oF4RbtckUWjUu2yYZ,1,incoming,1,50000000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,13b29XgBMDiPnbEzTfGTur3E6ETen88fYM,1,bidirectional,2,97305797
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,17pmbQJm5hYCsohxvC3WN1o6VZC5feFHU7,1,bidirectional,2,97858494
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1K7dBQFGdEEpnSCCJCf4HPXagHFmRCUYoU,1,bidirectional,2,99374784
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,162EgGu37pQcf1Cy1d1ozqP5w9XTECFf2C,1,bidirectional,2,94178321
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1J5DEHF8nbddZzK4BFBFuYXmZFLkBsevDi,1,bidirectional,2,96069323
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1BZoLKLCaT7djLuAkg5NM4FkN74zZqiUHz,1,bidirectional,2,46130000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1LFYY4i34P3YTtBbezzLEQ8Qf2aZYbJtM9,1,bidirectional,2,22930000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1JPogn3taxwjPzXd1tV2piAFKyCqWmGAo5,1,bidirectional,2,87287711
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1FaqynnBmHSvRijJY19ih9QU7mis4RTz4m,1,bidirectional,2,99764317
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,149WwfCKncef41EZN44Qk2w6iebqsRoQ34,1,outgoing,1,16771
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,12GzrvTMDLaRN2NMTxsRfsCZb8My3dKyAs,1,bidirectional,2,79995726
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1PBfkYBUfXSZFoQfhTVG9Tx2w4QmSHA4C1,1,bidirectional,2,32530000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1NLJAPjJCQsgcVxky7CPWkGnCyeDN4T5bq,1,bidirectional,2,93989563
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1EEb86CX9ygFhf6HuWxaDTb42R87aonbWB,1,bidirectional,2,67330000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,18dAWGqrFu2sFjM6gUbvdThMYvv8bQV4Gu,1,bidirectional,2,71330000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1NKKeMD5HsuX774LdQBonpPDi2Wb5TQJoQ,1,bidirectional,2,98061199
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1C4ZiETsnxr8Gvc1ZG7nf56uWZAMa4zVzx,1,bidirectional,2,78517402
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,15RHEyDGhSnGyb8C9H2JbLeMqgmbYzcYsw,1,bidirectional,2,95999612
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,191jcq6hyZRTFBBaXtUuEk7gkdGB2kLPb3,1,bidirectional,2,79110291
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1AzkuxChzMB42DN41Ab1sNJ1n4aFP5R47x,1,bidirectional,2,20530000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,16nXpNUH84ibTNi2MCo9u2yfAeQKqwcbdf,1,bidirectional,2,30130000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1J3u6fE7cwdbCvSoc9ySwBus82SujNQBPo,1,bidirectional,2,98233950
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,14ThAoNnG2EBB3XCvC8L7LZK9mA2jfJUvs,1,bidirectional,2,96840800
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,1GY9BoSD9Wm4UBsQu12epd9ZA5rd5FY1i8,1,bidirectional,2,22130000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,12HYgysJMshSLgr7tzzb7aPrYyKbnGg6DL,1,bidirectional,2,24130000
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,13uPKYbXAExZVAy4MQGf7bRy8tPTbKsH3C,1,bidirectional,2,57730000
