wallet,total_in,total_out,in_degree,out_degree,transaction_count,first_seen,last_seen,active_duration,classification
13EymqMiv5ZLC6Z59xUj5poGfxDvk4cJFN,24700000,24600000,1,1,2,2017-03-25T20:32:19+00:00,2017-03-25T20:40:18+00:00,479,transit
13KN4LvCA6yZz4jUb2BejD19pdzhphvgoL,24100000,24000000,1,1,2,2017-03-31T11:12:52+00:00,2017-03-31T11:14:42+00:00,110,transit
149WwfCKncef41EZN44Qk2w6iebqsRoQ34,33542,0,2,0,2,2017-09-29T18:09:21+00:00,2017-09-29T18:09:21+00:00,0,collector
14kLmzcVifDWfZNaqf4wj28GYpUVDqeiqw,24300000,24200000,1,1,2,2017-03-29T21:19:16+00:00,2017-03-29T21:45:08+00:00,1552,transit
14pXvn4pgMy1Se8mZjYtgga3V7x4em7MEs,100000,0,1,0,1,2017-07-23T09:53:27+00:00,2017-07-23T09:53:27+00:00,0,collector
15BJqQia4VSaYEDnhqbxL7WcrZ874aHri2,23500000,23400000,1,1,2,2017-04-13T11:59:30+00:00,2017-04-13T12:08:58+00:00,568,transit
15GqSWnxEFZezUCcGjhBMknA1PB7aYNXC1,0,0,0,0,0,,,0,isolated
15L2Ubcdzk5vJu2M7xJ1nJXFML4Yzpnm7W,39131226,39062998,1,1,2,2017-01-17T01:30:03+00:00,2017-01-17T01:39:06+00:00,543,transit
16L1zTs3YZhtYH9EygyiFNHMXKy6wj916U,15500000,15400000,1,1,2,2017-05-25T10:00:17+00:00,2017-05-25T10:12:47+00:00,750,transit
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,9257564906,9193207351,265,265,530,2016-07-25T12:44:16+00:00,2017-09-29T18:09:21+00:00,37257905,transit
18sHYU49vUFk6TN6G2Pj6DSCUzkbLvwJt,341878,147560,5,2,7,2016-01-20T02:01:50+00:00,2017-11-29T07:43:38+00:00,58686108,transit
1A7wnTCAnoZFBu89PXZDBBNVAR2PVuMFqe,18915000,18815000,1,1,2,2017-04-06T15:36:40+00:00,2017-04-06T15:40:46+00:00,246,transit
1BXzyrYRHmg2tjG9y6SrDCjr3pbHuy3Bvo,378899430,2487883026,6,4,10,2017-02-08T07:45:34+00:00,2017-10-04T16:47:30+00:00,20595716,transit
1BkeGqpo8M5KNVYXW3obmQt1R58zXAqLBQ,363702,477255,1,2,3,2020-12-23T05:15:44+00:00,2021-03-10T06:46:25+00:00,6658241,transit
1CEwLDUWpaoZiVTrx2MVxL9BGBCauLTx8M,19715000,19615000,1,1,2,2017-03-20T11:57:24+00:00,2017-03-20T12:09:10+00:00,706,transit
1CMRScsrxPe2N4HwPpNKcHUhfCJXUm2Cx6,3000000,2500000,5,5,10,2017-07-04T14:16:25+00:00,2017-07-23T09:53:27+00:00,1625822,transit
1CeLgFDu917tgtunhJZ6BA2YdR559Boy9Y,8098061,6968936,207,6,213,2019-08-27T18:31:35+00:00,2019-12-11T16:49:18+00:00,9152263,transit
1CpTCVckjajNKDd7PsApV3cAkunVd4Mcmt,121800000,179048790,11,12,23,2017-08-31T09:16:54+00:00,2017-09-29T17:55:10+00:00,2536696,transit
